iter	Passed	Remaining
0	169	169392
1	180	90040
2	190	63386
3	201	50137
4	212	42247
5	222	36875
6	232	33042
7	244	30269
8	255	28111
9	264	26166
10	275	24736
11	288	23729
12	296	22533
13	307	21625
14	315	20721
15	324	19958
16	334	19345
17	343	18729
18	352	18196
19	362	17744
20	372	17348
21	382	16998
22	392	16660
23	403	16397
24	414	16177
25	425	15939
26	436	15713
27	446	15482
28	456	15279
29	466	15086
30	475	14877
31	486	14716
32	497	14582
33	506	14381
34	515	14215
35	525	14075
36	535	13931
37	544	13794
38	557	13743
39	567	13631
40	578	13523
41	590	13463
42	602	13403
43	613	13332
44	624	13263
45	634	13161
46	645	13081
47	653	12960
48	662	12861
49	672	12776
50	681	12680
51	692	12617
52	700	12521
53	710	12455
54	721	12394
55	729	12301
56	739	12239
57	748	12159
58	759	12113
59	769	12061
60	779	12006
61	789	11945
62	798	11873
63	808	11817
64	819	11784
65	828	11726
66	838	11672
67	846	11600
68	855	11548
69	864	11485
70	873	11432
71	883	11388
72	893	11340
73	903	11307
74	912	11254
75	923	11228
76	933	11195
77	942	11142
78	952	11103
79	961	11055
80	970	11015
81	980	10971
82	988	10924
83	998	10893
84	1008	10854
85	1019	10835
86	1029	10802
87	1039	10773
88	1050	10754
89	1060	10722
90	1071	10702
91	1081	10675
92	1092	10653
93	1104	10641
94	1116	10633
95	1126	10606
96	1137	10585
97	1150	10587
98	1161	10573
99	1173	10561
100	1185	10551
101	1196	10530
102	1207	10515
103	1217	10493
104	1228	10473
105	1237	10440
106	1248	10416
107	1256	10378
108	1265	10343
109	1273	10303
110	1282	10269
111	1290	10235
112	1299	10200
113	1310	10183
114	1319	10155
115	1330	10140
116	1339	10107
117	1348	10082
118	1358	10058
119	1367	10026
120	1376	10003
121	1385	9972
122	1396	9959
123	1406	9934
124	1416	9914
125	1426	9891
126	1434	9863
127	1445	9847
128	1453	9814
129	1462	9787
130	1471	9762
131	1480	9734
132	1490	9713
133	1499	9689
134	1510	9677
135	1520	9662
136	1530	9642
137	1541	9627
138	1550	9602
139	1559	9580
140	1568	9557
141	1577	9532
142	1587	9515
143	1596	9489
144	1606	9470
145	1615	9449
146	1624	9426
147	1633	9405
148	1644	9392
149	1653	9371
150	1662	9348
151	1673	9333
152	1683	9319
153	1692	9298
154	1702	9282
155	1712	9263
156	1721	9244
157	1730	9220
158	1741	9208
159	1751	9197
160	1761	9178
161	1772	9166
162	1780	9143
163	1790	9125
164	1802	9122
165	1812	9107
166	1824	9102
167	1836	9093
168	1847	9085
169	1858	9075
170	1870	9067
171	1880	9053
172	1892	9046
173	1902	9032
174	1913	9022
175	1924	9012
176	1935	9000
177	1946	8987
178	1957	8976
179	1968	8968
180	1979	8957
181	1989	8943
182	1999	8928
183	2008	8907
184	2018	8893
185	2030	8884
186	2039	8866
187	2049	8852
188	2058	8833
189	2067	8814
190	2077	8800
191	2087	8785
192	2098	8773
193	2107	8754
194	2116	8737
195	2126	8722
196	2135	8702
197	2144	8688
198	2154	8671
199	2163	8655
200	2173	8639
201	2183	8625
202	2194	8614
203	2203	8596
204	2212	8578
205	2220	8559
206	2230	8544
207	2240	8532
208	2250	8518
209	2260	8504
210	2269	8487
211	2278	8470
212	2289	8458
213	2298	8442
214	2307	8426
215	2316	8409
216	2325	8392
217	2334	8375
218	2345	8364
219	2355	8350
220	2364	8333
221	2373	8317
222	2382	8300
223	2392	8288
224	2402	8274
225	2411	8257
226	2420	8243
227	2429	8225
228	2438	8211
229	2447	8194
230	2457	8180
231	2465	8163
232	2474	8146
233	2484	8131
234	2492	8113
235	2505	8111
236	2517	8103
237	2527	8090
238	2536	8077
239	2546	8062
240	2555	8049
241	2565	8036
242	2575	8022
243	2584	8008
244	2594	7994
245	2603	7979
246	2613	7966
247	2624	7957
248	2634	7945
249	2643	7929
250	2652	7916
251	2661	7900
252	2671	7888
253	2681	7876
254	2690	7860
255	2700	7846
256	2709	7832
257	2718	7817
258	2726	7801
259	2736	7788
260	2745	7774
261	2754	7759
262	2764	7746
263	2773	7732
264	2783	7720
265	2792	7706
266	2802	7692
267	2811	7679
268	2821	7666
269	2832	7657
270	2840	7642
271	2850	7630
272	2859	7615
273	2869	7602
274	2879	7590
275	2887	7574
276	2898	7566
277	2907	7551
278	2917	7540
279	2929	7531
280	2937	7516
281	2948	7506
282	2956	7491
283	2966	7479
284	2975	7465
285	2984	7450
286	2993	7437
287	3003	7425
288	3014	7415
289	3024	7404
290	3034	7393
291	3045	7384
292	3054	7370
293	3063	7356
294	3072	7343
295	3083	7334
296	3095	7325
297	3104	7313
298	3114	7300
299	3123	7288
300	3132	7275
301	3144	7268
302	3153	7254
303	3164	7245
304	3175	7236
305	3184	7222
306	3194	7210
307	3203	7197
308	3213	7186
309	3223	7175
310	3233	7163
311	3244	7154
312	3254	7144
313	3264	7131
314	3275	7123
315	3284	7109
316	3292	7093
317	3301	7079
318	3308	7063
319	3318	7052
320	3327	7038
321	3336	7026
322	3345	7012
323	3354	6998
324	3364	6988
325	3375	6979
326	3386	6969
327	3396	6958
328	3404	6944
329	3414	6931
330	3422	6917
331	3431	6904
332	3440	6891
333	3449	6878
334	3459	6866
335	3468	6854
336	3478	6842
337	3491	6838
338	3500	6826
339	3510	6815
340	3520	6803
341	3529	6790
342	3537	6775
343	3546	6763
344	3555	6750
345	3565	6740
346	3574	6727
347	3584	6716
348	3595	6706
349	3604	6694
350	3615	6684
351	3623	6671
352	3633	6659
353	3644	6650
354	3654	6639
355	3664	6629
356	3674	6618
357	3683	6605
358	3694	6597
359	3704	6585
360	3713	6572
361	3722	6561
362	3731	6548
363	3741	6537
364	3750	6524
365	3759	6512
366	3768	6499
367	3777	6487
368	3789	6479
369	3798	6468
370	3808	6456
371	3816	6443
372	3825	6430
373	3834	6419
374	3843	6406
375	3852	6393
376	3861	6380
377	3870	6369
378	3880	6357
379	3891	6349
380	3901	6338
381	3910	6325
382	3919	6314
383	3927	6301
384	3939	6292
385	3947	6279
386	3958	6270
387	3968	6260
388	3978	6248
389	3988	6237
390	3999	6229
391	4008	6216
392	4017	6205
393	4026	6193
394	4042	6192
395	4052	6180
396	4060	6166
397	4068	6154
398	4077	6142
399	4088	6132
400	4097	6119
401	4107	6109
402	4117	6099
403	4127	6088
404	4136	6077
405	4145	6064
406	4154	6053
407	4164	6042
408	4173	6030
409	4182	6019
410	4192	6008
411	4203	5999
412	4213	5988
413	4222	5976
414	4232	5966
415	4241	5954
416	4251	5943
417	4260	5931
418	4269	5920
419	4279	5909
420	4288	5898
421	4299	5888
422	4307	5875
423	4318	5866
424	4328	5855
425	4336	5843
426	4347	5834
427	4356	5821
428	4365	5810
429	4374	5798
430	4382	5785
431	4391	5774
432	4401	5763
433	4410	5751
434	4418	5739
435	4427	5727
436	4436	5715
437	4447	5706
438	4456	5695
439	4464	5682
440	4474	5672
441	4484	5661
442	4493	5650
443	4502	5638
444	4512	5627
445	4522	5617
446	4531	5605
447	4541	5595
448	4550	5584
449	4559	5572
450	4567	5559
451	4576	5548
452	4585	5536
453	4594	5526
454	4607	5518
455	4617	5508
456	4625	5495
457	4635	5485
458	4643	5473
459	4653	5462
460	4661	5450
461	4669	5437
462	4678	5425
463	4686	5413
464	4695	5402
465	4704	5391
466	4714	5380
467	4723	5369
468	4732	5358
469	4741	5346
470	4750	5335
471	4759	5324
472	4770	5314
473	4780	5304
474	4789	5293
475	4798	5282
476	4807	5271
477	4817	5260
478	4826	5249
479	4835	5237
480	4844	5226
481	4853	5216
482	4862	5205
483	4871	5193
484	4880	5182
485	4888	5170
486	4904	5166
487	4914	5155
488	4922	5144
489	4932	5134
490	4942	5123
491	4950	5111
492	4960	5101
493	4969	5089
494	4979	5079
495	4987	5067
496	4998	5058
497	5009	5050
498	5019	5040
499	5030	5030
500	5039	5019
501	5049	5009
502	5060	5000
503	5070	4990
504	5080	4980
505	5090	4970
506	5100	4959
507	5111	4950
508	5120	4939
509	5129	4928
510	5139	4918
511	5149	4908
512	5160	4898
513	5168	4887
514	5179	4877
515	5191	4869
516	5200	4858
517	5212	4849
518	5223	4840
519	5232	4829
520	5242	4820
521	5252	4810
522	5262	4799
523	5272	4789
524	5281	4778
525	5292	4768
526	5301	4758
527	5310	4747
528	5321	4737
529	5330	4727
530	5340	4717
531	5350	4706
532	5359	4696
533	5370	4686
534	5378	4674
535	5388	4665
536	5398	4654
537	5408	4644
538	5420	4636
539	5431	4627
540	5441	4616
541	5451	4606
542	5460	4595
543	5470	4585
544	5479	4574
545	5488	4563
546	5498	4553
547	5507	4542
548	5517	4532
549	5526	4522
550	5536	4511
551	5545	4501
552	5554	4489
553	5565	4480
554	5575	4470
555	5586	4461
556	5595	4450
557	5604	4439
558	5616	4430
559	5625	4420
560	5635	4409
561	5644	4399
562	5654	4388
563	5664	4378
564	5673	4368
565	5684	4358
566	5695	4349
567	5704	4338
568	5715	4329
569	5724	4318
570	5735	4309
571	5746	4299
572	5755	4289
573	5765	4278
574	5774	4268
575	5784	4257
576	5794	4247
577	5803	4236
578	5818	4230
579	5830	4221
580	5840	4211
581	5850	4201
582	5860	4192
583	5869	4180
584	5879	4170
585	5887	4159
586	5898	4150
587	5908	4139
588	5917	4129
589	5928	4119
590	5939	4110
591	5949	4100
592	5959	4089
593	5967	4078
594	5977	4068
595	5985	4057
596	5994	4046
597	6003	4035
598	6013	4025
599	6023	4015
600	6032	4004
601	6043	3995
602	6053	3985
603	6063	3975
604	6074	3965
605	6082	3954
606	6092	3944
607	6102	3934
608	6112	3924
609	6123	3914
610	6131	3903
611	6142	3894
612	6151	3883
613	6161	3873
614	6171	3863
615	6180	3852
616	6197	3847
617	6208	3837
618	6219	3828
619	6228	3817
620	6239	3807
621	6250	3798
622	6258	3787
623	6267	3776
624	6276	3765
625	6285	3755
626	6293	3744
627	6302	3733
628	6311	3722
629	6321	3712
630	6329	3701
631	6338	3690
632	6347	3680
633	6357	3670
634	6368	3660
635	6377	3650
636	6386	3639
637	6396	3629
638	6403	3617
639	6412	3607
640	6421	3596
641	6429	3585
642	6439	3575
643	6448	3564
644	6457	3554
645	6466	3543
646	6475	3532
647	6484	3522
